c,2,90080.0,1543577371.0452604
c,3,135120.0,1543577371.1090212
o,1,187542.0,1543577371.4006186
o,2,125028.0,1543577371.4040992
o,3,187542.0,1543577371.4092326
p,1,187542.0,1543577371.4372814
p,2,125028.0,1543577371.43731
p,3,187542.0,1543577371.4373224
c,1,187542.0,1543577371.5025017
o,1,183958.5,1543577371.9032123
o,3,183958.5,1543577371.9065027
o,2,122639.0,1543577371.909834
o,1,122193.0,1543577372.4067962
o,2,88959.0,1543577372.4131513
o,3,133438.5,1543577372.4160168
p,1,122193.0,1543577372.5001748
p,2,88959.0,1543577372.5001998
p,3,133438.5,1543577372.5002115
o,3,128631.0,1543577372.905067
o,1,139876.5,1543577372.9081447
o,2,85754.0,1543577372.9150283
o,2,109792.0,1543577373.4068198
o,3,164688.0,1543577373.4096608
o,1,164688.0,1543577373.413119
p,1,164688.0,1543577373.5130212
p,2,109792.0,1543577373.513067
p,3,164688.0,1543577373.513082
c,2,109792.0,1543577373.5513792
c,3,164688.0,1543577373.6231122
o,1,168394.5,1543577373.910077
o,2,112263.0,1543577373.9147637
o,3,168394.5,1543577373.921112
c,1,168394.5,1543577374.008512
o,1,158304.0,1543577374.4188197
o,2,105536.0,1543577374.428898
o,3,158304.0,1543577374.4338653
p,1,158304.0,1543577374.5290048
p,2,105536.0,1543577374.5290332
p,3,158304.0,1543577374.5290523
o,1,180648.0,1543577374.9107974
o,3,180648.0,1543577374.914191
o,2,120432.0,1543577374.9172115
o,3,119175.0,1543577375.4135015
o,1,119175.0,1543577375.4166682
o,2,79450.0,1543577375.419782
p,1,119175.0,1543577375.539086
p,2,79450.0,1543577375.5391135
p,3,119175.0,1543577375.539126
o,1,116949.0,1543577375.9128683
o,2,77966.0,1543577375.9165735
o,3,116949.0,1543577375.9196143
c,2,77966.0,1543577376.0565834
c,3,116949.0,1543577376.12725
o,1,194271.0,1543577376.41369
o,2,129514.0,1543577376.4228852
o,3,194271.0,1543577376.4281075
c,1,194271.0,1543577376.5141323
p,1,194271.0,1543577376.5435934
p,2,129514.0,1543577376.5436203
p,3,194271.0,1543577376.543634
o,1,206235.0,1543577376.933971
o,3,206235.0,1543577376.947493
o,2,137490.0,1543577376.9537797
o,1,169738.5,1543577377.4161637
o,3,169738.5,1543577377.4290006
o,2,113159.0,1543577377.4338694
p,1,169738.5,1543577377.548247
p,2,113159.0,1543577377.5482671
p,3,169738.5,1543577377.5482757
o,1,109254.0,1543577377.9176762
o,2,72836.0,1543577377.9291172
o,3,109254.0,1543577377.9319894
o,1,171871.5,1543577378.4174738
o,2,114581.0,1543577378.4223652
o,3,171871.5,1543577378.4262748
p,1,171871.5,1543577378.5530941
p,2,114581.0,1543577378.5531158
p,3,171871.5,1543577378.5531247
c,2,114581.0,1543577378.559839
c,3,171871.5,1543577378.6323974
o,1,155106.0,1543577378.9233646
o,2,103404.0,1543577378.9358065
o,3,155106.0,1543577378.9420729
c,1,155106.0,1543577379.0315976
o,1,123079.5,1543577379.4212086
o,2,82053.0,1543577379.4245684
o,3,123079.5,1543577379.4282253
p,1,123079.5,1543577379.5574942
p,2,82053.0,1543577379.557516
p,3,123079.5,1543577379.557525
o,1,151573.5,1543577379.9363372
o,2,101049.0,1543577379.9425309
o,3,151573.5,1543577379.9510362
p,1,151573.5,1543577380.06397
p,2,101049.0,1543577380.0639987
p,3,151573.5,1543577380.0640128
o,2,144342.0,1543577380.4278078
o,1,216513.0,1543577380.4349642
o,3,216513.0,1543577380.4378066
p,1,216513.0,1543577380.5720372
p,2,144342.0,1543577380.5720675
p,3,216513.0,1543577380.5720763
o,1,155701.5,1543577380.9292533
o,2,103801.0,1543577380.936053
o,3,155701.5,1543577380.939904
c,2,103801.0,1543577381.0657961
c,3,155701.5,1543577381.1369834
o,1,167902.5,1543577381.4317522
o,2,111935.0,1543577381.441719
o,3,167902.5,1543577381.4468942
c,1,167902.5,1543577381.537649
p,1,167902.5,1543577381.5819094
p,2,111935.0,1543577381.581931
p,3,167902.5,1543577381.5819397
o,3,135069.0,1543577381.9343119
o,1,135069.0,1543577381.936707
o,2,90046.0,1543577381.9410915
o,1,179541.0,1543577382.4352767
o,3,179541.0,1543577382.4426563
o,2,119694.0,1543577382.4456713
p,1,179541.0,1543577382.5930963
p,2,119694.0,1543577382.593121
p,3,179541.0,1543577382.593133
o,1,146974.5,1543577382.9402363
o,3,146974.5,1543577382.943418
o,2,97983.0,1543577382.9464266
o,2,98193.0,1543577383.443274
o,3,148601.0,1543577383.4485443
o,1,147289.5,1543577383.453819
c,2,98193.0,1543577383.570985
p,1,147289.5,1543577383.5985258
p,2,98193.0,1543577383.5985518
p,3,148601.0,1543577383.5985646
c,3,148601.0,1543577383.6510055
o,1,130079.0,1543577383.9405115
o,2,86818.0,1543577383.9462006
o,3,128950.5,1543577383.9495606
c,1,130079.0,1543577384.0448363
